7058003	yua	Tuláakal beyo'.
7058039	yua	Bix a beel?
7058040	yua	In k'aaba'e' Carlos.
8892673	yua	Tu'ux ka bin.
8892678	yua	Ba'ax a k'áat.
9028877	yua	Uts tin wich.
9028888	yua	Ya'ab.
9028901	yua	Jach ki' a janal!
9028973	yua	Ba'ax taak a jaantik.
9028981	yua	Ko'ox janal.
12458344	yua	Ko'one'ex.
12458355	yua	Ko'ox.
12458361	yua	Bix a k’aaba'.
12458363	yua	Bix a k'aaba'ex.
12458368	yua	Bix u k'aaba' a wíicham.
12458373	yua	Bix u k'aaba' a watan.
12458380	yua	Bix u k'aaba' a suku'un.
12458386	yua	Bix u k'aaba' a kiik.
12458394	yua	Bix u k'aaba' a paal.
12458404	yua	Bix a ch'i'ibal k'aaba'.
12458417	yua	Bix a pat k’aaba’.
12458432	yua	Bix u k'aaba' a yuum.
12458436	yua	Bix u k'aaba' a na'tsil.
12688997	yua	Ba'axk'iin u kaaxtiko'ob petroleo ti' Algeria?
12689000	yua	Ka wojéel mixba'al ti' teen
12689002	yua	Pa'atech, ch'eenil.
12689004	yua	Noj kaaj mina'an máako'obe'
12689006	yua	Teeche' jach kíimak a wóol ti' in kiik
12689008	yua	A wojéel ba'ax le e-booko'?
12689010	yua	J-tom ka'ach jump'íit káaltal
12689012	yua	J-tom ventrílocuonen
12894494	yua	Je'ek'abt le joolnajo'.
12894628	yua	Ma'alob k'iin.
